"uniq_id","year","q1","q2y","ed","wc1","wc3","wc2","r4a","r5","r6","r12","r15","q5b","prov","municipio","municipio_label","colrecon6","colrecon7","colrecon8","colrecon18","centro","ur","l1","colpaz4a","colpaz6a","colpropaz5","colwc5","colwc6","colwc7","colwc8","colwc9","colpropaz6","coljp5","colconce1","colrecon3","colconce7","coldis35f","colrecon12","colpropaz11a","colpact1","colpropaz13k","coljepaa1","colconce6","prov_label","rebel_controlled"
16081357,2016,"Women",71,18,2,2,2,1,0,0,1,1,1,"873",873001,"IBAGUE",NA,3,NA,1,NA,1,1,2,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Tolima",1
16081111,2016,"Men",28,8,2,2,2,1,0,0,1,0,3,"841",841001,"NEIVA",2,NA,7,NA,1,1,1,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,"Huila",0
16080129,2016,"Men",75,4,2,2,1,1,0,0,1,0,1,"854",854001,"CUCUTA",NA,7,NA,10,NA,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Norte de Santander",0
16081116,2016,"Women",23,18,1,2,1,1,0,1,1,1,2,"886",886568,"PUERTO ASIS",NA,7,NA,4,0,1,7,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Putumayo",0
16081138,2016,"Women",44,9,2,2,2,1,0,0,1,0,1,"819",819001,"POPAYAN",9,NA,9,NA,NA,1,6,2,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,4,4,NA,NA,NA,"Cauca",1
16080203,2016,"Women",47,11,2,2,2,1,1,0,1,1,1,"808",808001,"BARRANQUILLA",4,NA,2,NA,NA,1,3,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,2,1,NA,NA,NA,"Atlántico",0
16081283,2016,"Men",37,13,1,2,1,1,0,1,1,1,2,"815",815176,"CHIQUINQUIRA",NA,7,NA,9,0,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Boyacá",0
16081112,2016,"Men",39,15,2,2,2,1,0,1,1,1,4,"847",847001,"SANTA MARTA",NA,1,NA,1,NA,1,2,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Magdalena",0
16080779,2016,"Women",27,13,2,1,2,1,0,1,1,1,1,"811",811001,"BOGOTA",NA,4,NA,6,NA,1,8,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Bogotá, D.C.",0
16080681,2016,"Women",26,5,2,2,2,1,0,0,1,0,4,"823",823001,"MONTERIA",NA,1,NA,1,NA,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Córdoba",0
